,date,sentiment
179,2012-03-05,-0.030000000000000006
180,2012-03-06,0.022348484848484847
181,2012-03-07,0.043859649122807015
182,2012-03-08,0.0
183,2012-03-09,0.0
184,2012-03-10,0.0
185,2012-03-11,-0.0010281385281385297
186,2012-03-12,0.020833333333333332
187,2012-03-13,0.010294117647058823
188,2012-03-14,0.0
189,2012-03-15,-0.009090909090909092
190,2012-03-16,0.0
191,2012-03-17,0.003134796238244514
192,2012-03-18,0.02857142857142857
193,2012-03-19,0.0004716981132075472
194,2012-03-20,0.0
195,2012-03-21,0.002380952380952381
196,2012-03-22,-0.0047619047619047615
197,2012-03-23,0.010166177908113394
198,2012-03-24,0.03429752066115703
199,2012-03-25,0.005742296918767507
200,2012-03-26,0.006382978723404255
201,2012-03-27,-0.0013333333333333335
202,2012-03-28,0.01388888888888889
203,2012-03-29,0.02291666666666667
204,2012-03-30,-0.01
205,2012-03-31,0.008
206,2012-04-01,0.0
207,2012-04-02,0.008333333333333333
208,2012-04-03,0.0
209,2012-04-04,0.0009868421052631581
210,2012-04-05,0.012040043290043288
211,2012-04-06,0.0
212,2012-04-07,0.0011961722488038277
213,2012-04-08,0.001811594202898551
214,2012-04-09,0.0
215,2012-04-10,0.0
216,2012-04-11,0.003496503496503496
217,2012-04-12,0.0235
218,2012-04-13,0.01568627450980392
219,2012-04-14,-0.007728196600147817
220,2012-04-15,0.0
221,2012-04-16,0.00641025641025641
222,2012-04-17,-0.005208333333333333
223,2012-04-18,0.004988344988344988
224,2012-04-19,0.002105263157894737
225,2012-04-20,0.0
226,2012-04-21,0.01702127659574468
227,2012-04-22,0.008471760797342194
228,2012-04-23,0.0
229,2012-04-24,-0.002116402116402117
230,2012-04-25,0.0010309278350515462
231,2012-04-26,0.017241379310344827
232,2012-04-27,-0.001769911504424779
233,2012-04-28,0.007118055555555555
234,2012-04-29,0.0029411764705882353
235,2012-04-30,0.007861635220125786
236,2012-05-01,-0.000853924418604651
237,2012-05-02,0.00654592803030303
238,2012-05-03,-0.0032786885245901644
239,2012-05-04,0.011839826839826841
240,2012-05-05,0.01666666666666667
241,2012-05-06,0.0
242,2012-05-07,0.016165413533834588
243,2012-05-08,-0.042105263157894736
244,2012-05-09,-0.047058823529411764
245,2012-05-10,-0.046052631578947366
246,2012-05-11,0.0
247,2012-05-12,0.004251700680272109
248,2012-05-13,0.008620689655172414
249,2012-05-14,-0.003333333333333334
250,2012-05-15,-0.0010928961748633882
251,2012-05-16,0.02
252,2012-05-17,0.0
253,2012-05-18,0.0044250871080139375
254,2012-05-19,0.010416666666666666
255,2012-05-20,-0.0008474576271186442
